,State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Agricultural_Workers,Workers,Housholds_with_Electric_Lighting,Households_with_Internet,Hindus,Muslims,Christians,Sikhs,Jains,Buddhists,Male_Workers,Female_Workers,Literate_rate,sex_rate
211,Kerala,Ernakulam,10.004879301987431,76.26957729035381,595,3282388,1619557,1662831,2855676,1425723,1429953,71391,1249343,771287,88737,1509557,514397,1248137,860,1176,614,913249,336094,86.99995247362591,97.39757076936863
212,Kerala,Idukki,9.80480963855423,77.04586641566264,596,1108974,552808,556166,923010,471881,451129,145698,516363,244844,8250,541854,82206,481507,100,44,189,331710,184653,83.23098647939446,99.39622342969545
213,Kerala,Kannur,11.941523076923056,75.35209891725934,589,2523003,1181446,1341557,2138434,1012956,1125478,82988,824116,511167,32653,1509592,742483,262526,424,193,1118,609377,214739,84.75748938863728,88.06528533636663
214,Kerala,Kasaragod,12.33310309912974,75.07768497134369,588,1307375,628613,678762,1037492,516476,521016,38774,462998,237670,10378,729987,486913,87454,151,130,362,325095,137903,79.35687924275744,92.61169599948141
215,Kerala,Kollam,8.929388820570157,76.6360775852431,600,2635375,1246968,1388407,2240273,1074345,1165928,92193,912025,630767,31542,1697635,508500,421598,208,63,272,644362,267663,85.00775032016317,89.81285746902745
216,Kerala,Kottayam,9.643701174068417,76.46059673302705,597,1974551,968289,1006262,1749798,861592,888206,63052,735735,464039,37849,983598,126499,858608,204,83,358,530322,205413,88.61751355118201,96.22633071704983
217,Kerala,Kozhikode,11.392924270557026,75.71158720159153,591,3086293,1470942,1615351,2615443,1266939,1348504,64198,948981,641660,36791,1734958,1211131,131516,297,601,235,752333,196648,84.74383345975252,91.06020920530584
218,Kerala,Malappuram,10.97329875666072,75.93910775606876,592,4112920,1960328,2152592,3311315,1597404,1713911,117405,1062424,730119,27909,1135259,2888849,81556,205,68,179,898157,164267,80.51007556675063,91.06825631610636
219,Kerala,Palakkad,10.784926903553291,76.49980490693744,593,2809934,1359478,1450456,2239492,1122600,1116892,249949,1042340,587583,27162,1875980,812936,114397,220,78,238,746121,296219,79.69909613535407,93.72762772534982
220,Kerala,Thiruvananthapuram,8.537101759082221,76.88711502868073,601,3301427,1581678,1719749,2785408,1354857,1430551,94470,1231669,783872,71621,2194057,452915,630573,404,76,301,864101,367568,84.36981947503307,91.97144467012338
